ticket_id,ticket_text,department
TCK-100522,I need HR assistance with my benefits; it has not been processed.,hr
TCK-100738,I am contacting HR regarding employee portal related to my employee record as soon as possible.,hr
TCK-100741,"hi team, The employment letter needs clarification.",hr
TCK-100661,My salary statement needs to be submitted.,hr
TCK-100412,Please troubleshoot API.,technical
TCK-100679,Can you help? My payslip is showing an incorrect value help needed,hr
TCK-100627,Could you check my HR request; it is not visible in the portal.,hr
TCK-100514,I need clarification about salary related to my employee profile for my account.,hr
TCK-100860,Can you help? Your products I would like more information.,general
TCK-100137,Can you help? My subscription has an additional fee.,billing
TCK-100812,My products I would like more information.,general
TCK-100077,My invoice was charged twice,billing
TCK-100637,I need clarification about my salary account; it needs approval.,hr
TCK-100974,I have a question about your services; it can someone help me understand this.,general
TCK-100939,Could you provide information about products,general
TCK-100900,Please explain your services; it what options are available. help needed,general
TCK-100281,I need technical help with the integration; it is not loading.,technical
TCK-100884,Can you help? The support service can you tell me more.,general
TCK-100762,I have a question about the support service; it what options are available.,general
TCK-100320,Please look into verification code.,technical
TCK-100550,My attendance is not visible in the portal.,hr
TCK-100175,I have a question about fee.,billing
TCK-100372,"thanks, I need technical help with dashboard.",technical
TCK-100528,i have a question about employment letter.,hr
TCK-100211,"urgent, I am having trouble with the cancelled order.",billing
TCK-100236,Could you check my recent purchase; it has an additional fee.,billing
TCK-100102,I have a question about invoice.,billing
TCK-100987,Can you tell me about plans related to your services Please advise.,general
TCK-100903,I would like to know about your website; it can you explain this.,general
TCK-100948,"urgent, Can you help? Your products I would like more information. thx",general
TCK-100347,my api returns a 500 error.,technical
TCK-100140,"hi team, I need assistance with tax related to the cancelled order for my account.",billing
TCK-100622,My emergency contact requires HR assistance.,hr
TCK-100500,My notification freezes after login.,technical
TCK-100371,Can someone fix my account; it crashes unexpectedly.,technical
TCK-100199,"ASAP, I have an issue with my recent purchase; it has not been refunded.",billing
TCK-100688,"urgent, I have a question about employment verification.",hr
TCK-100585,My employment verification is showing an incorrect value.,hr
TCK-100902,I would like to know about product information related to the product catalog please.,general
TCK-100060,I need help regarding duplicate charge related to my recent purchase — please advise.,billing
TCK-100329,Can you help? The mobile app returns a 500 error.,technical
TCK-100097,The billing was declined.,billing
TCK-100313,"hello support, I am having trouble with the login page.",technical
TCK-100975,Can you tell me about products.,general
TCK-100300,Can someone fix verification code. help needed,technical
TCK-100278,"please, I have a question about verification code.",technical
TCK-100925,"thanks, I need more details about mobile application.",general
TCK-100602,Please help me with my benefits; it needs clarification.,hr
TCK-100440,the verification code shows a blank screen.,technical
TCK-100838,I have a question about services.,general
TCK-100571,Please help me with employment verification.,hr
TCK-100880,My service information can someone help me understand this,general
TCK-100262,"hi team, My mobile app rejects my credentials",technical
TCK-100579,My HR policy has not been processed.,hr
TCK-100024,Can someone investigate receipt.,billing
TCK-100031,I need help regarding payment related to my subscription I need assistance.,billing
TCK-100618,Can you help? My hr request needs clarification.,hr
TCK-100011,I have an issue with my order; it has an additional fee.,billing
TCK-100222,The transaction has the wrong tax amount.,billing
TCK-100821,Can you help? The mobile application can you explain this.,general
TCK-100297,I have a question about notification.,technical
TCK-100055,Please look into my account; it was charged incorrectly.,billing
TCK-100543,I have an employee query about employment letter related to my payslip I would appreciate your help.,hr
TCK-100210,I have a question about failed payment.,billing
TCK-100605,Can you help? My benefits needs clarification.,hr
TCK-100693,I am having trouble with my attendance record.,hr
TCK-100663,The payslip needs to be updated.,hr
TCK-100867,"hi team, i would like to know about company related to the product catalog i would appreciate your help.",general
TCK-100071,My credit was charged incorrectly.,billing
TCK-100544,"hi team, Please help me with payslip related to my HR request Can you help? pls",hr
TCK-100108,I am having trouble with my card,billing
TCK-100494,I am having trouble with the API request,technical
TCK-100591,I need clarification about my leave balance; it requires HR assistance. thanks,hr
TCK-100742,I need HR assistance with my attendance record; it needs to be submitted.,hr
TCK-100293,My integration is not loading.,technical
TCK-100290,"urgent, The integration keeps failing.",technical
TCK-100653,"need help, i need clarification about my benefits; it is not visible in the portal.",hr
TCK-100040,"hello support, Can you help? The monthly plan was charged twice.",billing
TCK-100590,"urgent, My payslip needs to be submitted. thx",hr
TCK-100308,Could you investigate dashboard.,technical
TCK-100680,"please, I need HR assistance with bank details.",hr
TCK-100067,Please look into receipt. thanks,billing
TCK-100276,I am having trouble with the mobile app.,technical
TCK-100068,My credit was declined.,billing
TCK-100319,I need technical help with the mobile app; it does not respond.,technical
TCK-100549,Can you help? My leave balance is showing an incorrect value.,hr
TCK-100999,Where can I find information about the documentation; it can you explain this,general
TCK-100715,Can you help? My employee profile needs clarification.,hr
TCK-100754,I have a question about company related to the product catalog Can you help?,general
TCK-100328,I need support for my account; it returns a 500 error.,technical
TCK-100383,There is a problem with the application; it freezes after login.,technical
TCK-100452,My account access freezes after login.,technical
TCK-100523,The HR policy has not been received.,hr
TCK-100219,"please, Can you help? The cancelled order has not been refunded. thx",billing
TCK-100788,Please explain your products; it how does this work.,general
TCK-100437,can you help? the upload feature does not respond.,technical
TCK-100765,"please, I have a question about FAQ.",general
TCK-100089,I am having trouble with my order.,billing
TCK-100064,Please help me with credit related to my card I need assistance.,billing
TCK-100827,"thanks, The support I would like more information.",general
TCK-100717,Please help me with parental leave related to my employee record,hr
TCK-100352,I have a question about website.,technical
TCK-100937,Can you help? The documentation where can I get more details.,general
TCK-100257,The login crashes unexpectedly,technical
TCK-100636,please help me with employee portal.,hr
TCK-100645,The leave is showing an incorrect value.,hr
TCK-100555,My employment verification needs clarification.,hr
TCK-100960,"urgent, I have a question about plans.",general
TCK-100169,My fee was charged twice.,billing
TCK-100918,I need more details about your services; it how does this work.,general
TCK-100529,Can you help? My employment details needs clarification.,hr
TCK-100824,I would like to know about business hours related to the available plans Can you help?,general
TCK-100986,Where can I find information about products.,general
TCK-100817,i need more details about products.,general
TCK-100087,The subscription has not generated a receipt. thx,billing
TCK-100433,There is a problem with verification code related to the website I would appreciate your help. pls,technical
TCK-100185,The transaction was charged incorrectly.,billing
TCK-100979,"hello support, I would like to know about product information related to the available plans I need assistance.",general
TCK-100535,I need HR assistance with my employment details; it has not been processed.,hr
TCK-100295,My verification code returns a 500 error.,technical
TCK-100893,The mobile application where can I find this.,general
TCK-100426,Could you investigate the dashboard; it stopped working after the update.,technical
TCK-100714,I have a question about HR policy.,hr
TCK-100261,there is a problem with notification related to the login page and let me know what i should do,technical
TCK-100238,I have an issue with my order; it was processed twice.,billing
TCK-100560,Please look into parental leave.,hr
TCK-100584,I need clarification about HR policy.,hr
TCK-100446,I have a question about mobile app.,technical
TCK-100868,"please, My features is this available.",general
TCK-100801,I am having trouble with the user guide.,general
TCK-100600,I have a question about employee benefits.,hr
TCK-100850,Could you provide information about user guide.,general
TCK-100266,I am facing an issue with file upload.,technical
TCK-100996,My products what options are available.,general
TCK-100530,I am having trouble with my employee record.,hr
TCK-100056,can someone investigate fee related to my account — please advise.,billing
TCK-100121,"need help, Could you check my card; it has an additional fee.",billing
TCK-100216,The duplicate charge has the wrong tax amount.,billing
TCK-100026,"ASAP, Can you help? My card was charged incorrectly.",billing
TCK-100073,I have a question about charge.,billing
TCK-100045,"hello support, I have a question about failed payment.",billing
TCK-100248,i need help regarding my card; it was charged incorrectly.,billing
TCK-100722,Can you help? My employee record needs clarification.,hr
TCK-100282,The server freezes after login.,technical
TCK-100894,"hi team, Please explain FAQ related to the mobile application for my account.",general
TCK-100915,I have a question about your company; it is this available.,general
TCK-100811,"urgent, The company can you explain this. pls",general
TCK-100245,Please help me with renewal.,billing
TCK-100823,Could you provide information about FAQ.,general
TCK-100322,Please look into website. help needed,technical
TCK-100644,I am contacting HR regarding salary.,hr
TCK-100159,I am contacting support about refund related to the monthly plan please.,billing
TCK-100978,The user guide what options are available.,general
TCK-100430,The dashboard stopped working after the update. thx,technical
TCK-100942,"hi team, I would like to know about products related to the documentation please. pls",general
TCK-100463,I have a question about verification code.,technical
TCK-100310,"hi team, My file upload keeps failing.",technical
TCK-100698,i am contacting hr regarding personal details related to my leave balance please thanks,hr
TCK-100061,Please help me with the cancelled order; it was processed twice.,billing
TCK-100885,"hi team, The documentation where can I get more details.",general
TCK-100596,The emergency contact needs clarification.,hr
TCK-100768,I have a question about available options.,general
TCK-100650,"hi team, The employee benefits needs clarification.",hr
TCK-100651,I have a question about parental leave,hr
TCK-100866,i am having trouble with the documentation.,general
TCK-100669,"please, The emergency contact needs to be corrected.",hr
TCK-100299,I am facing an issue with website.,technical
TCK-100690,I have a question about attendance.,hr
TCK-100315,My password reset rejects my credentials.,technical
TCK-100311,I am having trouble with my account,technical
TCK-100362,Can someone fix login related to the API request please.,technical
TCK-100480,"hello support, Could you investigate account access related to the login page please.",technical
TCK-100111,"hello support, I am contacting support about my subscription; it has the wrong tax amount.",billing
TCK-100990,i am having trouble with the mobile application.,general
TCK-100487,The website keeps failing,technical
TCK-100364,Could you investigate file upload related to the login page Can you help?,technical
TCK-100255,My dashboard crashes unexpectedly,technical
TCK-100260,There is a problem with the application; it returns a 500 error.,technical
TCK-100803,Where can I find information about documentation.,general
TCK-100678,"kindly check, I need HR assistance with attendance related to my attendance record — please advise.",hr
TCK-100495,Can you help? The mobile app is not loading.,technical
TCK-100671,I am contacting HR regarding emergency contact related to my employment details,hr
TCK-100378,Can you help? The integration crashes unexpectedly.,technical
TCK-100527,I am having trouble with my leave balance.,hr
TCK-100846,i am having trouble with the user guide.,general
TCK-100138,I have a question about tax.,billing
TCK-100356,Can you help? The integration freezes after login.,technical
TCK-100366,my file upload does not respond.,technical
TCK-100943,"need help, I have a question about the user guide; it can someone help me understand this.",general
TCK-100750,I am contacting HR regarding employee benefits related to my attendance record please.,hr
TCK-100949,I would like to know about your company; it is this available.,general
TCK-100830,Can you help? Your company where can I get more details.,general
TCK-100657,The salary statement has not been processed.,hr
TCK-100200,I am contacting support about duplicate charge related to the cancelled order Can you help?,billing
TCK-100214,I need help regarding renewal related to my account for my account.,billing
TCK-100409,i am having trouble with the server.,technical
TCK-100333,I am facing an issue with the integration; it rejects my credentials.,technical
TCK-100209,can someone investigate the payment; it has an additional fee.,billing
TCK-100614,"thanks, I have a question about parental leave.",hr
TCK-100079,I have an issue with the cancelled order; it is showing an unexpected amount.,billing
TCK-100030,Can you help? My account has an additional fee.,billing
TCK-100536,I need HR assistance with employment verification.,hr
TCK-100696,i need hr assistance with my hr request; it needs to be corrected.,hr
TCK-100558,"thanks, Could you check my leave balance; it needs to be updated.",hr
TCK-100837,I have a question about support.,general
TCK-100597,I am contacting HR regarding my payslip; it needs to be submitted,hr
TCK-100166,I have a question about card payment,billing
TCK-100919,I have a question about FAQ.,general
TCK-100496,There is a problem with checkout page.,technical
